Population,taxa
1,LERMA 52
1,LERMAROJO64
1,KALYAN SONA
1,PITIC 62
1,RR21 (RUSTRESISTANT21)
1,NL30 (NEPAL LINE30)
2,HD(HYBRIDDELHI1982)
2,UP262
2,LUMBINI
2,TRIVENI
2,VHINAYAK
2,SIDDHARATH
2,VASKAR
2,NEPAL297
2,NEPAL 251
3,ANNAPURNA 1
3,ANNAPURNA2
3,ANNAPURNA3
3,BL1022(BHAIRAHAWALINE1022)
3,BHIRKUTI
3,BL1135(BHAIRAHAWALINE1135)
3,ANNAPURNA4
3,ACHYUT
3,RHOHINI
3,KANTI
3,PASANG LAMU
3,BL1473(BHAIRAHAWALINE1473)
4,GAUTAM
4,WK1204
4,ADITYA
4,VIJAYA
4,NL917
4,GUARA
4,DHULAGIRI
4,TILLOTAMMA (NL 1073)
5,DAPHANE NL 1064
5,BANDGANGA(BL3623)
5,SWARGADWARI (BL 3629)
5,MUNAL
5,CHYAKURA (NL 1164)
5,BL-4341
5,MUDULE-1
5,TILA(WK 2370)
6,SURMA(WK-2286)
6,KOTILA(WK-2422)
6,ZINC GAUN-1(NL-1327)
6,ZINC GAUN-2(NL-1369)
6,BORLANG 1000 (2020)
6,BHERI GANGA(WK-2748)
6,HIM GANGA(WK-3026)
7,KHUMAL SAKTII-(WK-3027)
7,BL -4818
7,NL-1202
7,NL-1349
7,NL-1446
7,NL-1179
8,NL-1226
8,NL-1488
8,NL-1387
8,KHAJURA DURUM1
8,KHJURA DHURUM 2
8,TRTICALE
